,Tokenized_Text,Tweets_Clean,Tweet_Lemmatized
0,"['at', '#', 'metalpay', 'we', 'do', 'not', 'censor', 'for', 'thought', 'crime', '.']","['metalpay', 'censor', 'thought', 'crime', '.']","['metalpay', 'censor', 'thought', 'crime', '.']"
1,"['also', 'you', 'can', 'bank', 'with', 'crypto', 'and', 'get', 'great', 'customer', 'service', '.']","['also', 'bank', 'crypto', 'get', 'great', 'customer', 'service', '.']","['also', 'bank', 'crypto', 'get', 'great', 'customer', 'service', '.']"
2,"[""it's…"", '.', '»', 'binance', 'to', 'train', 'law', 'enforcement', 'on', 'how', 'to', 'stop', 'crypto', 'crime', '.', '#', 'binance', 'to', 'help', '#', 'kazakhstan', 'regulate', 'its', '#', 'crypto', 'space', ',', 'combat', 'crime', 'linked', 'to', '#', 'cryptocurrencies', '.']","[""it's…"", '.', 'binance', 'train', 'law', 'enforcement', 'stop', 'crypto', 'crime', '.', 'binance', 'help', 'kazakhstan', 'regulate', 'crypto', 'space', ',', 'combat', 'crime', 'linked', 'cryptocurrencies', '.']","[""it's…"", '.', 'binance', 'train', 'law', 'enforcement', 'stop', 'crypto', 'crime', '.', 'binance', 'help', 'kazakhstan', 'regulate', 'crypto', 'space', ',', 'combat', 'crime', 'linked', 'cryptocurrencies', '.']"
3,"['.rt', 'i', 'haven', '’', 't', 'heard', 'one', 'single', 'democrat', 'acknowledge', 'or', 'address', 'crime', ',', 'inflation', 'or', 'any', 'other', 'major', 'concerns', 'i', 'have', 'about', 'thi….rt', 'at', '#', 'metalpay', 'we', 'do', 'not', 'censor', 'for', 'thought', 'crime', '.']","['’', 'heard', 'one', 'single', 'democrat', 'acknowledge', 'address', 'crime', ',', 'inflation', 'major', 'concerns', 'thi….rt', 'metalpay', 'censor', 'thought', 'crime', '.']","['’', 'heard', 'one', 'single', 'democrat', 'acknowledge', 'address', 'crime', ',', 'inflation', 'major', 'concern', 'thi….rt', 'metalpay', 'censor', 'thought', 'crime', '.']"
4,"['also', 'you', 'can', 'bank', 'with', 'crypto', 'and', 'get', 'great', 'customer', 'service', '.']","['also', 'bank', 'crypto', 'get', 'great', 'customer', 'service', '.']","['also', 'bank', 'crypto', 'get', 'great', 'customer', 'service', '.']"
5,"['it', ""'s"", 'sim…', '.']","[""'s"", 'sim…', '.']","[""'s"", 'sim…', '.']"
6,"['bill', 'clinton', 'has', 'been', 'a', 'womanizer', 'since', 'he', 'was', 'governor', 'of…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'weeks', 'ago', ':', 'nasdaq', 'and', 'to', 'handle', 'crypto', 'custody', 'and…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'weeks', 'ago', ':', 'nasdaq', 'and', 'doing', 'crypto', 'custody', 'and', 'cryp…', '.the', 'penalty', 'is', 'part', 'of', 'an', 'expanding', 'effort', 'by', 'the', 'treasury', 'department', 'and', 'other', 'agencies', 'to', 'crack', 'down', 'on', 'crypto', 'cr…', '.rt', 'in', 'less', 'than', '2', 'years', ',', 'joe', 'biden', '’', 's', 'policies', 'have', 'created', 'an', 'energy', 'crisis', ',', 'a', 'border', 'crisis', ',', 'a', 'crime', 'crisis', ',', 'an', 'educatio….these', 'hacks', 'are', 'funding', 'crime', 'syndicates', 'and', 'rogue', 'nation', 'state', 'actors', ',', 'no', 'shit', 'the', 'govt', 'wants', 'to', 'kill', 'crypto.rt', 'my', 'brother', '😍🥰🥰', 'the', 'prominent', 'cardano', 'dev', 'and', 'my', 'partner', 'in', 'crime', 'for', '❤️❤️….my', 'brother', '😍🥰🥰', 'the', 'prominent', 'cardano', 'dev', 'and', 'my', 'partner', 'in', 'crime', 'for', '.']","['bill', 'clinton', 'womanizer', 'since', 'governor', 'of…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'weeks', 'ago', ':', 'nasdaq', 'handle', 'crypto', 'custody', 'and…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'weeks', 'ago', ':', 'nasdaq', 'crypto', 'custody', 'cryp…', '.the', 'penalty', 'part', 'expanding', 'effort', 'treasury', 'department', 'agencies', 'crack', 'crypto', 'cr…', 'less', '2', 'years', ',', 'joe', 'biden', '’', 'policies', 'created', 'energy', 'crisis', ',', 'border', 'crisis', ',', 'crime', 'crisis', ',', 'educatio….these', 'hacks', 'funding', 'crime', 'syndicates', 'rogue', 'nation', 'state', 'actors', ',', 'shit', 'govt', 'wants', 'kill', 'crypto.rt', 'brother', '😍🥰🥰', 'prominent', 'cardano', 'dev', 'partner', 'crime', '❤️❤️….my', 'brother', '😍🥰🥰', 'prominent', 'cardano', 'dev', 'partner', 'crime', '.']","['bill', 'clinton', 'womanizer', 'since', 'governor', 'of…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'week', 'ago', ':', 'nasdaq', 'handle', 'crypto', 'custody', 'and…', '.today', ':', 'bny', 'mellon', '🤝', '🤝', 'two', 'week', 'ago', ':', 'nasdaq', 'crypto', 'custody', 'cryp…', '.the', 'penalty', 'part', 'expanding', 'effort', 'treasury', 'department', 'agency', 'crack', 'crypto', 'cr…', 'le', '2', 'year', ',', 'joe', 'biden', '’', 'policy', 'created', 'energy', 'crisis', ',', 'border', 'crisis', ',', 'crime', 'crisis', ',', 'educatio….these', 'hack', 'funding', 'crime', 'syndicate', 'rogue', 'nation', 'state', 'actor', ',', 'shit', 'govt', 'want', 'kill', 'crypto.rt', 'brother', '😍🥰🥰', 'prominent', 'cardano', 'dev', 'partner', 'crime', '❤️❤️….my', 'brother', '😍🥰🥰', 'prominent', 'cardano', 'dev', 'partner', 'crime', '.']"
7,"['if', 'crime', 'was', 'a', 'picture', '......', 'when', 'it', 'comes', 'to', 'managing', 'financial', 'crime', 'risks', 'of', 'crypto', ',', 'of', 'trm', 'labs', 'highlighted', 'how', '“', 'in', 'the', 'age', 'of', 'cry…', '.']","['crime', 'picture', '......', 'comes', 'managing', 'financial', 'crime', 'risks', 'crypto', ',', 'trm', 'labs', 'highlighted', '“', 'age', 'cry…', '.']","['crime', 'picture', '......', 'come', 'managing', 'financial', 'crime', 'risk', 'crypto', ',', 'trm', 'lab', 'highlighted', '“', 'age', 'cry…', '.']"
8,"['idk', 'crypto', 'crime', 'is', 'pretty', 'wild', ',', 'do', 'kwon', 'is', 'on', 'the', 'run', 'now', 'iirc.i', 'reported', 'the', 'account', 'as', 'appearing', 'to', 'be', 'hacked', '.']","['idk', 'crypto', 'crime', 'pretty', 'wild', ',', 'kwon', 'run', 'iirc.i', 'reported', 'account', 'appearing', 'hacked', '.']","['idk', 'crypto', 'crime', 'pretty', 'wild', ',', 'kwon', 'run', 'iirc.i', 'reported', 'account', 'appearing', 'hacked', '.']"
9,"['please', 'do', 'the', 'same', 'and', 'help', 'twitter', 'catch', 'these', 'frauds', '.']","['please', 'help', 'twitter', 'catch', 'frauds', '.']","['please', 'help', 'twitter', 'catch', 'fraud', '.']"
