"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"1",5.79909265446053,0,"Ethereum","11","1",315,"Exit Scam"
"2",15.2018049190842,0,"Ethereum","9","5",247,"Exploit"
"3",12.0888250914779,0,"Ethereum","8","2",243,"Exploit"
"4",17.1793521530827,16.7546725329399,"Binance","10","5",274,"Exploit"
"5",11.3380957739346,0,"Binance","2","0",52,"Exit Scam"
"6",8.39908510293591,0,"Ethereum","1","2",13,"Exit Scam"
"7",12.8212582846204,0,"CEX","3","3",87,"Exploit"
"8",11.4616321705827,0,"Ethereum","1","0",10,"Exploit"
"9",11.0804642181915,0,"Ethereum","1","6",17,"Exit Scam"
"10",14.9328304301425,0,"Ethereum","2","6",51,"Exploit"
"11",6.89871453432999,0,"Ethereum","10","5",305,"Exit Scam"
"12",11.9183905730784,0,"Other","4","1",114,"Exploit"
"13",7.19743535409659,0,"Ethereum","12","2",358,"Exit Scam"
"14",14.9060920190202,0,"Ethereum","5","6",128,"Exploit"
"15",8.15190987294091,0,"Ethereum","1","2",6,"Exit Scam"
"16",13.6913080867507,0,"Ethereum","8","1",235,"Exit Scam"
"17",11.3736633976367,0,"CEX","5","4",132,"Exploit"
"18",12.6464350316362,0,"Binance","3","0",60,"Exit Scam"
"19",11.084524325579,0,"Binance","5","1",144,"Exploit"
"20",11.8147249166312,0,"Ethereum","6","3",170,"Exploit"
"21",12.1410006487865,0,"Binance","2","0",39,"Exit Scam"
"22",14.359944250344,0,"Ethereum","2","4",35,"Exploit"
"23",12.289986312901,0,"Binance","12","3",352,"Exit Scam"
"24",12.2160229763833,0,"CEX","4","4",116,"Exploit"
"25",13.598598798636,0,"Ethereum","2","5",51,"Exit Scam"
"26",9.17988116449147,0,"Ethereum","6","6",163,"Exploit"
"27",12.0376539939052,0,"CEX","4","0",91,"Exploit"
"28",11.247057068196,0,"Ethereum","11","4",311,"Exit Scam"
"29",14.6652472990056,0,"Ethereum","10","2",279,"Exit Scam"
"30",13.0657062496642,0,"Binance","9","3",251,"Exploit"
"31",7.80669637252118,0,"Ethereum","12","1",343,"Exit Scam"
"32",11.1669784843865,0,"Binance","9","3",258,"Exit Scam"
"33",16.9935643883122,0,"Ethereum","5","2",132,"Exploit"
"34",9.91467474192669,0,"Ethereum","2","0",32,"Exit Scam"
"35",10.6931260332848,0,"Binance","8","3",237,"Exit Scam"
"36",8.32941678393932,0,"Ethereum","1","1",5,"Exit Scam"
"37",16.8112428315183,0,"Ethereum","9","2",253,"Exit Scam"
"38",15.4209404490008,0,"CEX","4","5",112,"Exploit"
"39",13.3480556778961,0,"Ethereum","6","5",170,"Exit Scam"
"40",18.805943144743,0,"Other","9","6",253,"Exit Scam"
"41",10.4813080531264,0,"Ethereum","12","2",337,"Exit Scam"
"42",17.9098551201864,0,"Ethereum","10","4",302,"Exit Scam"
"43",12.5271955385374,0,"Ethereum","1","1",19,"Exploit"
"44",6.68085467879022,0,"Fantom","12","6",339,"Exit Scam"
"45",7.84149292446001,0,"Binance","3","4",85,"Exit Scam"
"46",13.8155105579643,13.8155115579638,"CEX","7","3",185,"Exploit"
"47",13.9978321147582,0,"Binance","5","6",128,"Exit Scam"
"48",13.4653713523389,0,"Binance","5","2",138,"Exploit"
"49",9.44951474036292,0,"Ethereum","2","0",39,"Exit Scam"
"50",15.7614207070196,0,"Binance","5","0",137,"Exploit"
"51",16.2134058307626,0,"Binance","5","6",136,"Exploit"
"52",12.6349221938711,0,"Ethereum","1","3",21,"Exit Scam"
"53",13.8849722528697,0,"Binance","12","2",335,"Exploit"
"54",12.5350058204222,0,"Ethereum","3","5",72,"Exit Scam"
"55",11.0944662985666,0,"Ethereum","3","6",87,"Exit Scam"
"56",9.36546200884348,0,"Ethereum","1","5",16,"Exit Scam"
"57",19.7739352509941,0,"CEX","2","0",40,"Exit Scam"
"58",11.7662645089995,0,"Cronos","12","6",339,"Exit Scam"
"59",18.7564036999329,0,"Binance","10","5",303,"Exploit"
"60",9.23395923757482,0,"Binance","4","5",93,"Exit Scam"
"61",2.77258872223978,0,"Binance","2","0",39,"Exploit"
"62",16.5706954584719,0,"Ethereum","5","5",128,"Exploit"
"63",16.5527490719734,0,"Ethereum","2","2",40,"Exploit"
"64",10.6542666459288,0,"Ethereum","7","6",192,"Exploit"
"65",8.39840965542627,8.3986348552921,"CEX","1","1",27,"Exploit"
"66",15.5870673198748,0,"CEX","10","6",301,"Exploit"
"67",13.5848903761757,0,"Binance","12","1",362,"Exploit"
"68",12.7188573490457,0,"Ethereum","9","5",263,"Exit Scam"
"69",10.7470570426091,0,"Ethereum","6","5",162,"Exploit"
"70",14.5444914723332,0,"Ethereum","7","5",212,"Exploit"
"71",11.454618156109,0,"Polygon","7","0",192,"Exploit"
"72",11.6952470217642,0,"Binance","6","6",156,"Exit Scam"
"73",12.8212582846204,0,"Avax","9","1",249,"Exploit"
"74",14.6484196808994,0,"Binance","5","2",139,"Exit Scam"
