logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62b31ccc0d07e.jpeg,Terra Classic,https://www.terra.money/,LUNC,Stablecoin,Bank Run,"$40,000,000,000 ",08.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61bb58e866760.jpeg,BitConnect,https://www.bitconnect.co/,,Borrowing and Lending,Exit Scam,"$2,000,000,000 ",15.01.2018
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/611296a35c3be.jpeg,Poly Network,https://www.poly.network/,ETH,Other,Exploit,"$602,189,570 ",10.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62611d5208f44.jpeg,Beanstalk,https://bean.money/,ETH,Stablecoin,Flash Loan Attack,"$181,000,000 ",18.04.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/624cb5cf10870.jpeg,Parity,https://www.parity.io/,ETH,Other,Exploit,"$155,000,000 ",08.11.2017
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/617ffa87d90eb.png,Boy X Highspeed,https://www.bxh.com/#/,BSC,Other,Exploit,"$139,895,140 ",29.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/617aaacf79160.jpeg,Cream Finance,https://cream.finance/,ETH,Exchange (DEX),Flash Loan Attack,"$130,000,000 ",26.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62a07c73b4e09.png,Maiar DEX,https://maiar.exchange/,EGLD,Exchange (DEX),Exploit,"$113,000,000 ",05.06.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6296374026bd7.png,Mirror Protocol,http://terra.mirror.finance/,,Other,Exploit,"$90,000,000 ",08.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6103fc8f3fae6.png,Compound Labs,https://compound.finance/,ETH,Borrowing and Lending,Exploit,"$89,000,000 ",25.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61f3f944c2670.jpeg,Qubit Finance,https://qbt.fi/app,BSC,Borrowing and Lending,Exploit,"$80,000,000 ",27.01.2022
